全新	193.33	9.92
空间	132.67	53.17
设计	94.76	26.09
很	84.38	59.17
非常	78.2	20.74
采用	75.22	3.08
外观	74.4	26.21
更	65.59	19.82
也	62.69	51.3
动感	62.27	2.62
时尚	58.05	11.18
大气	55.54	2.51
不错	51.74	24.57
表现	49.31	10.15
拥有	47.62	1.83
、	47.46	28.59
车型	43.25	18.56
提升	43.19	9.95
线条	41.99	6.13
造型	40.12	10.33
配置	40.06	20.48
是	38.15	38.45
它	36.95	14.06
销量	36.82	20.81
更加	36.35	8.98
舒适	34.85	7.89
操控	34.07	13.87
不仅	33.94	2.01
不	33.89	112.32
风格	33.67	5.31
品质	32.11	4.84
智能	31.68	3.08
动力	30.74	17.7
喜欢	30.7	19.47
搭配	30.27	0
丰富	30.16	2
年轻	29.98	5.83
脸	29.88	2.97
乘坐	29.78	2
外形	29.74	9.02
十足	29.53	0
内饰	29.02	16.33
颜值	28.98	3.68
增长	28.84	8.05
选择	28.83	6.64
mm	28.82	3.41
●	28.76	0
安全	28.52	11.67
带来	28.51	5.42
实用	28.29	9.06
我	27.54	31.7
提供	27.15	3.36
感	27.13	15.19
驾乘	27.08	2.42
车身	26.8	12.56
~	26.78	5.82
辅助	26.47	0
让	26.44	20.42
问题	26.29	238.36
运动	26.09	5.19
感觉	25.94	34.71
配备	25.93	3.74
稳重	25.25	0
性能	25.12	4.68
储物	25.08	6.1
配合	24.54	0
外观设计	24.52	2.19
实力	23.92	1.94
彰显	23.77	0
充分	22.86	0
上	22.6	15.79
能力	22.41	0
成为	22.36	3.95
霸气	22.02	0
简约	21.94	0
理念	21.67	1.69
方面	21.6	11.07
出色	21.36	1.95
亮点	21.28	0
和	21.1	16.26
绝对	20.99	6.65
家族	20.79	0
轴距	20.69	0
最	20.67	11.6
优势	20.55	5.76
LED	20.47	0
方便	20.26	4.09
座椅	20.17	14.38
系统	20.16	9.48
经济性	20.14	0
点评	20.12	0
更为	19.97	0
比较	19.85	23
强大	19.84	2.12
大	19.71	15.62
灵活	19.64	0
作为	19.59	7.14
达到	19.34	3.21
具有	19.27	0
科技	18.96	5.93
以及	18.94	4.92
加上	18.93	4.6
上市	18.9	4.6
中国	18.8	7.56
有效	18.73	2.48
安全性	18.58	6.64
获得	18.45	0
都	18.4	21.71
好	18.2	15.98
市场	18.09	7.96
-	18.07	8.97
同比	18	8.64
式	17.98	1.51
还是	17.68	18.5
后排	17.52	15.75
质感	17.46	3.64
新一代	17.34	0
%	17.3	11.27
掀	17.3	0
SUV	17.23	7.78
得到	17.2	0
性价比	17.16	8.26
操控性	17.01	2.19
轻松	16.86	1.76
格栅	16.67	1.59
冠军	16.62	0
车展	16.59	0
无论是	16.57	2.01
吸引	16.56	3.08
沉稳	16.49	2.12
黑色	16.31	0
保障	16.17	0
宽敞	16.14	4.07
赞	16.07	1.9
最大	16.04	3.08
体验	16.03	4.03
细节	16.01	3.75
好看	15.76	2.46
优点	15.73	0
将	15.71	9.64
值得	15.64	1.52
强劲	15.64	3.42
立体	15.32	0
保持	15.27	3.85
喜爱	15.27	2.15
省心	15.08	0
高效	15.06	0
可以	15.04	10.1
独立	14.86	3.48
流畅	14.78	2.31
展现	14.76	0
挺不错	14.67	0
而	14.66	7.49
全景	14.49	0
这	14.42	11.24
车	14.33	18.03
很好	14.3	3.29
视觉效果	14.2	0
优雅	14.2	0
高	14.19	13.79
太	14.04	64.87
硬朗	14	2.27
运动感	13.97	0
足够	13.95	5.65
”	13.9	8.66
家庭	13.82	3.7
够	13.71	2.93
打造	13.71	1.11
—	13.67	3.74
漂亮	13.64	4.07
良好	13.63	1.81
尾灯	13.56	2.7
能	13.53	10.91
贴心	13.52	1.97
实现	13.42	1.28
气质	13.37	2.17
强度	13.34	0
氛围	13.24	2.52
性	13.21	4.72
温度	13.09	0
青睐	13.09	0
油耗	13.08	13.69
精致	13.07	1.63
可	12.99	4.1
“	12.95	8.3
体现	12.93	4.14
背式	12.9	0
超高	12.9	0
生活	12.85	0
之一	12.85	3.12
先进	12.83	0
大幅	12.7	0
推出	12.65	2.05
而且	12.63	10.36
取得	12.62	0
扭矩	12.6	1.13
侧面	12.54	1.57
满意	12.5	14.8
确保	12.48	0
完美	12.41	4.1
成绩	12.39	0
进一步	12.22	0
高强度	12.22	0
领先	12.21	2.43
同时	12.17	5.63
精准	12.08	1.89
个性	12.06	1.51
优异	12.02	0
身高	12.02	0
腰线	11.94	0
乘员	11.94	0
老款	11.93	1.97
魅力	11.84	0
前脸	11.84	0
用户	11.83	1.4
车顶	11.81	1.44
质量	11.77	48.07
很漂亮	11.58	2.3
年轻人	11.58	2.67
家用	11.37	4.44
低油耗	11.35	0
口碑	11.25	4.58
发动机	11.18	26.95
家族式	11.16	0
商务	11.14	0
耐看	11.14	0
最好	11.12	3.1
充足	11.1	0
角度	11.1	0
营造	11.1	1.87
做工	11.07	10.76
满足	11.05	4.1
A	10.99	2.6
整体	10.96	6.47
镀铬	10.96	2.34
审美	10.86	2.16
挺	10.84	5.75
更是	10.81	3.94
卓越	10.78	0
过滤	10.61	0
品牌	10.52	7.53
工艺	10.52	3.63
融合	10.5	0
觉得	10.43	12.39
真皮	10.41	2.07
：	10.4	8.08
所	10.37	2.84
同级	10.34	5.19
混动	10.3	0
轮廓	10.26	0
赢得	10.25	0
激情	10.25	0
中级车	10.23	0
驾驭	10.22	0
就	10.21	14
稳定	10.2	3.26
感受	10.14	2.86
依然	10.13	2.33
简洁	10.12	2.77
前大灯	10.1	2.53
不失	10.09	0
外表	10.09	0
cm	10.05	0
省油	10.04	3.91
追求	10	0
指向	9.95	0
搭载	9.95	3.39
空调	9.93	22.34
充满	9.84	0
更具	9.83	0
人	9.79	10.24
确实	9.73	13.82
突出	9.7	1.77
消费者	9.69	8.26
出现	9.67	73.3
级车	9.66	1.88
New	9.64	0
担当	9.64	0
疲劳	9.64	0
智慧	9.64	0
需求	9.58	3.74
可谓	9.56	0
宽	9.55	0
清晰	9.54	0
平台	9.49	2.15
变化	9.45	0
综合	9.44	1.97
驾驶者	9.43	0
气息	9.43	0
灵动	9.43	0
好评	9.38	0
越级	9.38	0
棱角分明	9.38	0
大方	9.38	0
刚刚	9.31	0
TSI	9.29	1.07
使得	9.26	2.7
开	9.21	14.39
座舱	9.19	0
多媒体	9.19	0
力量感	9.19	0
饱满	9.13	0
满分	9.13	0
细腻	9.13	0
X	9.12	0
面积	9.08	0
调节	9.04	4.84
更多	9.01	0
功能	8.99	6.89
得益于	8.98	1.87
驾驶员	8.95	1.26
有	8.94	11.63
真的	8.9	9.53
特点	8.89	0
