word	pos_tf	neg_tf	idf	bdc	pos_tf_idf	neg_tf_idf	pos_tf_bdc	neg_tf_bdc
各方	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
ipr	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
镶嵌	3.81	0.00	3.36	0.45	12.81	0.00	1.70	0.00
产品组合	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
奋斗史	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
姑凉	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
大冶	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
设计师	6.67	4.16	2.99	0.05	19.96	12.45	0.31	0.20
总的来看	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
纸上谈兵	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
功率	37.14	8.31	2.26	0.17	83.93	18.79	6.26	1.40
杂物	2.86	0.00	3.84	0.70	10.97	0.00	2.00	0.00
风档	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
屌	1.90	0.00	3.36	0.41	6.40	0.00	0.78	0.00
首款	19.04	0.00	2.52	0.38	48.08	0.00	7.27	0.00
吉林	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
空气清新	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
车贷	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
地力	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
速度感	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
从头再来	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
线路	2.86	8.31	3.54	0.31	10.11	29.42	0.88	2.55
大象	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
豪气	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
齐	0.00	0.00	3.72	1.00	0.00	0.00	0.00	0.00
密码锁	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
秋高气爽	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
坡	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
年度	8.57	0.00	3.11	0.53	26.68	0.00	4.57	0.00
高新技术	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
Concept	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
一望无垠	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
恒定	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
汇	1.90	0.00	3.54	0.39	6.74	0.00	0.73	0.00
双叉臂	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
换掉	0.00	4.16	3.62	0.44	0.00	15.04	0.00	1.84
聚会	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
变更	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
超体	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
需要	42.85	74.82	2.10	0.01	89.85	156.89	0.44	0.78
刺鼻	0.00	20.78	3.84	1.00	0.00	79.80	0.00	20.78
s18	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
不	298.04	976.77	1.27	0.11	379.50	1243.74	33.66	110.31
喷水	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
拟态	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
驶离	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
助威	5.71	0.00	3.47	0.81	19.84	0.00	4.63	0.00
鲜肉	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
象征	3.81	0.00	3.17	0.37	12.08	0.00	1.41	0.00
颜帝	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
m160	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
余热	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
