word,pos_tf,bdc,pos_tf_bdc
全新,565.61,0.33,187.47
空间,510.38,0.27,135.5
设计,422.78,0.22,94.18
很,597.03,0.14,84.76
非常,253.29,0.31,79.54
采用,201.87,0.37,74.25
外观,304.7,0.24,72.84
更,319.94,0.21,67.79
动感,97.12,0.62,60.48
时尚,152.35,0.39,59.06
大气,91.41,0.6,54.59
不错,246.62,0.21,52.72
表现,161.87,0.31,49.6
拥有,109.5,0.45,48.77
车型,496.1,0.09,43.78
提升,126.64,0.35,43.77
线条,85.7,0.49,42.26
配置,277.09,0.15,41.06
造型,143.78,0.27,38.81
销量,278.99,0.14,38.75
它,239.95,0.15,36.66
更加,117.12,0.31,35.98
舒适,111.41,0.32,35.92
操控,122.83,0.28,34.6
风格,105.69,0.32,33.86
不,298.04,0.11,33.66
不仅,69.51,0.48,33.12
乘坐,63.8,0.5,32.12
动力,328.51,0.1,32.01
智能,85.7,0.37,31.86
丰富,65.7,0.48,31.85
品质,81.89,0.38,31.34
年轻,86.65,0.36,31.08
喜欢,197.11,0.16,30.85
十足,41.9,0.74,30.83
搭配,47.61,0.64,30.45
外形,96.17,0.31,29.92
脸,82.84,0.36,29.65
实用,79.03,0.37,29.54
颜值,65.7,0.44,29.16
选择,144.73,0.2,28.99
带来,87.6,0.33,28.68
内饰,227.58,0.12,28.21
增长,88.55,0.32,28.1
安全,130.45,0.21,27.31
驾乘,46.66,0.58,27.26
让,276.14,0.1,27.15
~,134.26,0.2,26.94
提供,99.98,0.27,26.76
辅助,44.75,0.6,26.63
问题,65.7,0.4,26.37
运动,104.74,0.25,26.24
感,117.12,0.22,25.8
感觉,229.48,0.11,25.71
稳重,35.23,0.72,25.41
配备,85.7,0.3,25.38
储物,51.42,0.49,25.25
配合,36.18,0.68,24.69
性能,88.55,0.28,24.56
上,463.72,0.05,24.5
车身,182.82,0.13,24.09
实力,51.42,0.47,24.07
彰显,28.57,0.84,23.93
充分,25.71,0.9,23.01
出色,46.66,0.49,22.97
能力,36.18,0.62,22.55
霸气,34.28,0.65,22.16
